Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity		
KBC 	"1,262"	"2,061,800"	725	"2,043,700"
KKC 	113	"313,600"	18	"39,500"
KLS 	"2,844"	"5,397,100"	956	"4,246,100"
KMF 	68	"73,100"	64	"61,200"
L18 	70	"109,500"	80	"141,100"
L43 	53	"64,800"	44	"62,900"
L61 	41	"51,900"	30	"58,300"
L62 	25	"18,900"	25	"24,900"
LBE 	31	"31,200"	18	"17,900"
LTC 	56	"44,300"	54	"66,300"
LUT 	36	"46,800"	11	"9,900"
MCO 	63	"47,800"	28	"35,100"
MEC 	96	"112,600"	44	"63,400"
MIC 	55	"54,300"	33	"40,000"
MKV 	31	"24,800"	32	"30,400"
MMC 	57	"67,000"	18	"35,300"
NBC 	327	"372,900"	121	"363,700"
NGC 	14	"7,900"	17	"10,100"
NLC 	74	"238,400"	75	"98,300"
NPS 	25	"29,500"	11	"15,900"
NST 	17	"33,900"	23	"32,100"
NTP 	344	"404,000"	166	"447,500"
NVC 	74	"94,700"	54	"84,300"
ONE 	87	"101,700"	55	"81,200"
PAN 	300	"467,500"	210	"341,800"
PGS 	198	"517,600"	77	"242,100"
PJC 	40	"25,200"	28	"22,600"
PLC 	68	"47,000"	52	"47,000"
PMS 	24	"47,500"	4	"6,400"
POT 	187	"256,200"	137	"204,700"
PPG 	70	"69,900"	69	"105,800"
PSC 	6	"65,700"	9	"22,900"
PTM 	11	"2,800"	15	"11,000"
PTS 	155	"150,900"	48	"80,000"
PVA 	146	"175,800"	98	"196,300"
PVC 	370	"542,200"	152	"529,500"
PVE 	73	"90,100"	25	"40,200"
PVG 	197	"366,100"	44	"186,900"
PVI 	776	"1,995,100"	324	"933,000"
PVS 	"1,254"	"2,380,200"	580	"1,957,200"
QNC 	155	"269,600"	86	"236,100"
QST 	1	200	2	200
QTC 	9	"6,400"	2	200
RCL 	60	"82,700"	26	"32,100"
S12 	97	"91,300"	42	"83,800"
S55 	130	"87,700"	52	"105,800"
S64 	90	"138,600"	41	"69,300"
S91 	30	"23,300"	23	"26,900"
S96 	44	"34,800"	23	"35,400"
S99 	138	"104,000"	104	"79,100"
SAF 	15	"46,000"	6	"4,800"
SAP 	34	"26,800"	37	"39,600"
SCC 	46	"41,700"	35	"38,200"
SCJ 	143	"152,900"	79	"159,200"
SD2 	161	"168,700"	100	"134,700"
SD3 	120	"128,700"	99	"158,300"
SD4 	93	"132,800"	76	"183,100"
SD5 	37	"34,600"	50	"60,700"
SD6 	141	"189,800"	77	"176,700"
SD7 	394	"464,300"	171	"360,800"
SD8 	81	"188,300"	59	"97,000"
SD9 	301	"448,000"	152	"337,300"
SDA 	349	"461,800"	151	"417,500"
SDC 	18	"7,500"	20	"11,700"
SDD 	204	"248,200"	110	"230,300"
SDJ 	57	"32,300"	38	"41,200"
SDP 	118	"239,600"	43	"108,900"
SDS 	64	"83,800"	30	"51,200"
SDT 	187	"606,200"	60	"119,500"
SDY 	50	"57,800"	19	"20,500"
SEB 	97	"115,700"	62	"110,300"
SGD 	65	"74,700"	51	"49,300"
SHB 	"1,696"	"3,089,300"	649	"2,173,200"
SIC 	81	"78,100"	66	"81,000"
SJ1 	28	"34,400"	5	"3,800"
SJC 	21	"11,700"	22	"14,500"
SJE 	432	"639,100"	139	"546,900"
SJM 	52	"69,800"	28	"26,600"
SKS 	42	"78,600"	28	"68,000"
SNG 	33	"33,400"	18	"14,800"
SPP 	29	"35,100"	34	"42,700"
SRA 	32	"31,100"	22	"24,100"
SRB 	176	"213,000"	55	"116,400"
SSM 	100	"82,800"	75	"118,000"
SSS 	83	"79,600"	59	"59,300"
STC 	35	"31,900"	46	"37,600"
STL 	261	"461,200"	120	"285,500"
STP 	155	"240,100"	132	"217,500"
SVI 	21	"10,900"	19	"22,200"
TBC 	218	"342,900"	177	"350,000"
TBX 	40	"108,500"	36	"27,800"
TC6 	141	"202,100"	83	"251,700"
TCS 	24	"23,600"	17	"30,300"
TDN 	23	"52,200"	22	"55,600"
THB 	124	"432,200"	40	"93,200"
THT 	452	"766,900"	199	"765,500"
TJC 	56	"696,400"	75	"150,900"
TKU 	48	"39,400"	30	"43,200"
TLC 	301	"593,800"	112	"277,400"
TLT 	193	"260,200"	151	"290,000"
TMC 	14	"9,900"	6	"7,000"
TNG 	171	"234,300"	116	"203,100"
TPH 	23	"27,500"	25	"24,100"
TPP 	40	"57,600"	31	"50,600"
TST 	106	"126,600"	59	"118,500"
TV4 	51	"238,200"	32	"29,900"
TXM 	147	"173,400"	65	"158,100"
UNI 	201	"1,270,200"	2	"2,000"
V11 	84	"97,000"	46	"69,800"
VBH 	14	"13,200"	10	"3,300"
VC1 	41	"31,100"	48	"36,800"
VC2 	100	"66,000"	62	"68,600"
VC3 	70	"113,500"	68	"111,600"
VC5 	97	"91,900"	71	"79,800"
VC6 	50	"49,000"	24	"30,900"
VC7 	60	"95,200"	59	"74,500"
VCC 	96	"116,100"	66	"128,800"
VCG 	880	"3,353,600"	366	"1,954,200"
VCS 	134	"456,400"	130	"296,000"
VDL 	20	"13,500"	17	"8,000"
VE1 	96	"83,000"	51	"71,000"
VE9 	7	"7,600"	23	"25,700"
VFR 	208	"267,100"	140	"228,300"
VGS 	242	"554,400"	25	"81,300"
VHL 	72	"94,200"	39	"114,000"
VMC 	94	"155,300"	42	"113,300"
VNC 	107	"149,300"	66	"118,400"
VNR 	42	"63,000"	45	"60,800"
VSP 	759	"732,800"	493	"790,800"
VTC 	122	"147,600"	18	"18,900"
VTL 	4	"5,700"	2	"1,300"
VTS 	58	"33,700"	40	"33,500"
VTV 	78	"119,900"	47	"75,400"
XMC 	130	"171,900"	53	"160,500"
YBC 	101	"99,700"	45	"109,500"
YSC 	8	"2,000"	4	"5,400"
